Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Edat_quinquennal,Nombre
2007,3,Sants-Montjuïc,15,Hostafrancs,Dona,35-39 anys,90
2007,3,Sants-Montjuïc,14,la Font de la Guatlla,Dona,35-39 anys,37
2007,3,Sants-Montjuïc,13,la Marina de Port,Dona,35-39 anys,86
2007,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Dona,35-39 anys,3
2007,3,Sants-Montjuïc,11,el Poble Sec,Dona,35-39 anys,220
2007,2,Eixample,10,Sant Antoni,Dona,35-39 anys,171
2007,2,Eixample,9,la Nova Esquerra de l'Eixample,Dona,35-39 anys,262
2007,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Dona,35-39 anys,242
2007,2,Eixample,7,la Dreta de l'Eixample,Dona,35-39 anys,260
2007,2,Eixample,6,la Sagrada Família,Dona,35-39 anys,302
2007,2,Eixample,5,el Fort Pienc,Dona,35-39 anys,156
2007,1,Ciutat Vella,3,la Barceloneta,Dona,35-39 anys,80
2007,3,Sants-Montjuïc,17,Sants - Badal,Dona,35-39 anys,103
2007,1,Ciutat Vella,2,el Barri Gòtic,Dona,35-39 anys,106
2007,99,No consta,99,No consta,Dona,30-34 anys,5
2007,10,Sant Martí,73,la Verneda i la Pau,Dona,30-34 anys,82
2007,10,Sant Martí,72,Sant Martí de Provençals,Dona,30-34 anys,98
2007,10,Sant Martí,71,Provençals del Poblenou,Dona,30-34 anys,85
2007,10,Sant Martí,70,el Besòs i el Maresme,Dona,30-34 anys,50
2007,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Dona,30-34 anys,88
2007,10,Sant Martí,68,el Poblenou,Dona,30-34 anys,206
2007,10,Sant Martí,67,la Vila Olímpica del Poblenou,Dona,30-34 anys,39
2007,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Dona,30-34 anys,71
2007,10,Sant Martí,65,el Clot,Dona,30-34 anys,135
2007,10,Sant Martí,64,el Camp de l'Arpa del Clot,Dona,30-34 anys,236
2007,9,Sant Andreu,63,Navas,Dona,30-34 anys,91
2007,9,Sant Andreu,62,el Congrés i els Indians,Dona,30-34 anys,58
2007,1,Ciutat Vella,1,el Raval,Dona,35-39 anys,240
2007,2,Eixample,9,la Nova Esquerra de l'Eixample,Dona,25-29 anys,278
2007,3,Sants-Montjuïc,18,Sants,Dona,35-39 anys,215
2007,4,Les Corts,20,la Maternitat i Sant Ramon,Dona,35-39 anys,88
2007,8,Nou Barris,48,la Guineueta,Dona,35-39 anys,50
2007,8,Nou Barris,47,Can Peguera,Dona,35-39 anys,7
2007,8,Nou Barris,46,el Turó de la Peira,Dona,35-39 anys,38
2007,8,Nou Barris,45,Porta,Dona,35-39 anys,94
2007,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Dona,35-39 anys,92
2007,7,Horta-Guinardó,43,Horta,Dona,35-39 anys,117
2007,7,Horta-Guinardó,42,la Clota,Dona,35-39 anys,0
2007,7,Horta-Guinardó,41,la Vall d'Hebron,Dona,35-39 anys,14
2007,7,Horta-Guinardó,40,Montbau,Dona,35-39 anys,26
2007,7,Horta-Guinardó,39,Sant Genís dels Agudells,Dona,35-39 anys,14
2007,7,Horta-Guinardó,38,la Teixonera,Dona,35-39 anys,61
2007,7,Horta-Guinardó,37,el Carmel,Dona,35-39 anys,119
2007,7,Horta-Guinardó,36,la Font d'en Fargues,Dona,35-39 anys,29
2007,4,Les Corts,19,les Corts,Dona,35-39 anys,171
2007,7,Horta-Guinardó,35,el Guinardó,Dona,35-39 anys,174
2007,7,Horta-Guinardó,33,el Baix Guinardó,Dona,35-39 anys,102
2007,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Dona,35-39 anys,189
2007,6,Gràcia,31,la Vila de Gràcia,Dona,35-39 anys,430
2007,6,Gràcia,30,la Salut,Dona,35-39 anys,54
2007,6,Gràcia,29,el Coll,Dona,35-39 anys,37
2007,6,Gràcia,28,Vallcarca i els Penitents,Dona,35-39 anys,90
2007,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Dona,35-39 anys,151
2007,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Dona,35-39 anys,184
2007,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Dona,35-39 anys,101
2007,5,Sarrià-Sant Gervasi,24,les Tres Torres,Dona,35-39 anys,45
2007,5,Sarrià-Sant Gervasi,23,Sarrià,Dona,35-39 anys,94
2007,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Dona,35-39 anys,17
2007,4,Les Corts,21,Pedralbes,Dona,35-39 anys,30
2007,7,Horta-Guinardó,34,Can Baró,Dona,35-39 anys,44
2007,7,Horta-Guinardó,38,la Teixonera,Dona,40-44 anys,34
2007,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Dona,25-29 anys,230
2007,2,Eixample,6,la Sagrada Família,Dona,25-29 anys,252
2007,10,Sant Martí,68,el Poblenou,Home,90-94 anys,4
2007,10,Sant Martí,67,la Vila Olímpica del Poblenou,Home,90-94 anys,0
2007,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Home,90-94 anys,8
2007,10,Sant Martí,65,el Clot,Home,90-94 anys,6
2007,10,Sant Martí,64,el Camp de l'Arpa del Clot,Home,90-94 anys,23
2007,9,Sant Andreu,63,Navas,Home,90-94 anys,9
2007,9,Sant Andreu,62,el Congrés i els Indians,Home,90-94 anys,11
2007,9,Sant Andreu,61,la Sagrera,Home,90-94 anys,11
2007,9,Sant Andreu,60,Sant Andreu,Home,90-94 anys,13
2007,9,Sant Andreu,59,el Bon Pastor,Home,90-94 anys,3
2007,9,Sant Andreu,58,Baró de Viver,Home,90-94 anys,1
2007,9,Sant Andreu,57,la Trinitat Vella,Home,90-94 anys,3
2007,8,Nou Barris,56,Vallbona,Home,90-94 anys,0
2007,8,Nou Barris,55,Ciutat Meridiana,Home,90-94 anys,1
2007,8,Nou Barris,54,Torre Baró,Home,90-94 anys,0
2007,8,Nou Barris,53,la Trinitat Nova,Home,90-94 anys,5
2007,8,Nou Barris,52,la Prosperitat,Home,90-94 anys,9
2007,8,Nou Barris,51,Verdun,Home,90-94 anys,4
2007,8,Nou Barris,50,les Roquetes,Home,90-94 anys,4
